Verizon Enterprise Packet Delivery Statistics for Country Specific Metrics(%),,,,,,,,,,,,
,2023,,2022,,,,,,,,,
,February,January,December,November,October,September,August,July,June,May,April,March
Hong Kong to US (99.000),99.985,99.989,99.987,99.993,100,99.998,99.998,99.987,99.986,99.978,99.998,99.989
Singapore to US (99.000),99.995,99.993,99.998,100,100,100,99.998,99.998,99.998,100,99.995,100
Australia to US (99.000),99.993,100,99.991,99.988,100,100,100,100,99.988,100,100,100
Argentina to US (99.000),99.988,99.982,100,99.998,99.997,99.994,99.996,99.999,100,99.999,99.992,99.997
Chile to US (99.000),99.993,99.997,99.997,99.994,99.994,99.999,99.999,99.998,99.998,99.993,100,100
Colombia to US (99.000),-,-,-,-,-,-,-,-,-,-,-,-
Panama to US (99.000),-,-,-,-,-,-,-,-,-,-,-,-
Venezuela to US (99.000),-,-,-,-,-,-,-,-,-,-,-,-
NA to India (99.000),99.986,100,99.992,99.992,99.99,99.993,99.994,99.999,99.955,99.998,100,100
NA to Intra EMEA (99.000),99.983,99.992,99.99,99.998,99.983,99.977,99.993,99.992,99.977,99.998,99.965,99.981
NA to Korea (99.000),100,99.993,100,99.986,99.998,99.993,99.998,99.998,100,100,100,100
NA to Taiwan (99.000),99.955,99.987,99.971,99.988,99.957,99.979,99.957,99.975,99.977,99.984,99.977,100
Hongkong to Sydney (99.000),100,100,100,100,100,100,99.999,100,99.984,99.984,99.999,99.992
Hongkong to Singapore (99.000),100,99.999,100,100,99.998,99.999,100,99.998,100,100,100,99.999
Hongkong to Tokyo (99.000),99.97,99.991,99.993,99.993,99.971,99.982,99.987,99.989,99.979,99.996,100,100
Singapore to Sydney (99.000),99.999,100,99.999,99.999,99.999,99.995,99.999,100,99.995,100,100,100
Singapore to Tokyo (99.000),99.973,99.973,99.973,99.979,99.998,99.944,99.984,99.973,99.988,100,100,100
Sydney to Tokyo (99.000),99.998,99.984,99.982,99.972,99.989,99.982,99.969,99.982,99.993,99.993,100,100
Korea to Singapore (99.000),99.993,99.991,99.982,99.993,100,100,100,100,100,99.998,100,100
Korea to Hongkong (99.000),99.988,100,99.993,99.988,100,99.998,99.998,99.996,99.993,99.996,100,100
Korea to Sydney (99.000),99.988,99.996,100,100,100,99.993,99.996,99.991,99.995,100,99.998,99.998
Korea to Tokyo (99.000),-,-,-,-,-,-,-,-,100,100,99.999,100
Korea to India (99.000),99.99,99.989,100,99.984,100,100,100,100,99.998,99.998,100,100
Taiwan to Singapore (99.000),99.965,99.973,99.978,99.956,99.993,99.965,99.996,99.98,99.944,99.973,99.986,100
Taiwan to Hong Kong (99.000),99.958,99.984,99.955,99.979,99.966,99.993,99.957,99.982,99.979,99.987,99.986,100
Taiwan to Sydney (99.000),99.983,99.919,99.96,99.956,99.991,99.991,99.998,100,99.97,100,100,99.998
Taiwan to Tokyo (99.000),-,-,-,-,-,-,-,-,100,100,100,100
Taiwan to India (99.000),99.965,99.949,99.98,99.947,99.969,99.97,99.964,100,99.993,99.986,99.988,100
India to Hongkong (99.000),99.996,99.998,99.999,99.992,99.996,99.998,99.994,100,99.986,99.999,100,100
India to Singapore (99.000),99.995,99.998,100,100,100,100,100,100,100,100,100,100
India to Sydney (99.000),99.986,99.993,99.999,99.998,100,100,99.999,99.999,99.997,99.999,99.998,99.998
India to Tokyo (99.000),99.99,99.98,99.964,99.977,99.96,99.993,99.957,99.973,99.982,99.998,100,100
NZ Transpacific (99.000),100,99.998,100,100,99.998,99.998,100,99.996,100,100,100,99.984
NZ to UK (99.000),100,99.999,99.999,99.995,99.998,99.999,99.997,99.996,100,99.994,99.995,99.973
India to UK (99.000),99.988,99.999,99.993,99.994,99.992,99.994,99.998,99.993,99.997,99.968,99.992,99.99
Hong Kong to UK (99.000),99.999,100,100,99.993,100,100,99.993,99.997,100,99.999,99.999,99.999
UK to Korea (99.000),99.99,99.993,99.998,100,99.991,100,100,100,99.993,100,99.995,100
Singapore to UK (99.000),99.999,100,99.999,100,99.994,100,99.997,99.989,99.995,99.984,99.998,99.999
Australia to UK (99.000),100,99.999,99.999,100,99.998,100,99.997,99.996,99.993,99.999,99.997,99.998
Japan to UK (99.000),99.978,99.982,99.984,99.97,100,99.972,99.982,99.973,99.972,99.977,100,100
Taiwan to UK (99.000),99.964,99.98,99.989,99.966,99.973,99.984,99.964,99.987,99.967,99.987,99.986,99.998
NZ to India (99.000),100,99.999,99.999,100,100,100,100,100,99.991,100,99.997,99.973
NZ to Hongkong (99.000),100,100,100,100,100,99.998,100,100,100,100,100,99.977
NZ to Korea (99.000),100,100,100,100,100,100,100,100,100,99.996,100,99.987
NZ to Singapore (99.000),100,99.999,100,100,100,100,99.996,100,99.997,100,100,99.983
NZ to Australia (99.000),100,100,100,99.994,100,100,99.998,100,100,100,100,100
NZ to Japan (99.000),100,100,100,100,100,100,100,100,99.972,100,100,99.993
NZ to Taiwan (99.000),99.973,99.964,99.895,99.979,99.944,99.986,99.975,99.978,99.991,99.998,99.995,99.987
Sydney to Adelaide (99.000),-,-,-,-,-,-,-,-,-,-,-,-
Sydney to Brisbane (99.000),-,-,-,-,-,-,100,100,100,100,100,100
Sydney to Melborne (99.000),-,-,-,-,-,-,-,-,100,100,100,100
Sydney to Perth (99.000),-,-,-,-,-,-,-,-,-,-,-,-
